year,month,day,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,hour,minute,time_hour
2013,1,12,1854,1700,114,2138,1950,108,AA,575,N5ELAA,JFK,EGE,257,1747,17,0,2013-01-12T22:00:00Z
2013,1,13,807,815,-8,952,1015,-23,US,675,N652AW,EWR,CLT,82,529,8,15,2013-01-13T13:00:00Z
2013,1,13,1334,1240,54,1526,1445,41,DL,1131,N370NB,LGA,DTW,87,502,12,40,2013-01-13T17:00:00Z
2013,1,13,1353,1350,3,1730,1715,15,US,186,N652AW,EWR,PHX,319,2133,13,50,2013-01-13T18:00:00Z
2013,1,14,1725,1725,0,2031,2040,-9,AA,145,N3FAAA,JFK,SAN,349,2446,17,25,2013-01-14T22:00:00Z
2013,1,15,610,615,-5,818,820,-2,US,1791,N703UW,JFK,CLT,104,541,6,15,2013-01-15T11:00:00Z
2013,1,15,1825,1840,-15,2039,2049,-10,DL,2131,N370NB,LGA,DTW,89,502,18,40,2013-01-15T23:00:00Z
2013,1,16,1715,1600,75,2024,1915,69,AA,565,N3FAAA,JFK,DFW,226,1391,16,0,2013-01-16T21:00:00Z
2013,1,17,613,615,-2,827,820,7,US,1791,N703UW,JFK,CLT,111,541,6,15,2013-01-17T11:00:00Z
2013,1,18,538,540,-2,841,850,-9,AA,1141,N5ELAA,JFK,MIA,156,1089,5,40,2013-01-18T10:00:00Z
2013,1,20,738,740,-2,1033,1040,-7,UA,608,N438UA,EWR,TPA,157,997,7,40,2013-01-20T12:00:00Z
2013,1,20,1655,1700,-5,2018,1955,23,AA,257,N3FAAA,JFK,LAS,347,2248,17,0,2013-01-20T22:00:00Z
2013,1,20,1849,1815,34,2046,2032,14,EV,5054,N398CA,EWR,MSP,158,1008,18,15,2013-01-20T23:00:00Z
2013,1,22,1131,1015,76,1444,1340,64,US,75,N652AW,EWR,PHX,292,2133,10,15,2013-01-22T15:00:00Z
2013,1,22,1239,1250,-11,1428,1449,-21,EV,4893,N398CA,EWR,DTW,92,488,12,50,2013-01-22T17:00:00Z
2013,1,23,930,845,45,1113,1057,16,US,1429,N703UW,LGA,CLT,86,544,8,45,2013-01-23T13:00:00Z
2013,1,23,1353,1359,-6,1530,1533,-3,UA,683,N438UA,EWR,ORD,128,719,13,59,2013-01-23T18:00:00Z
2013,1,23,1432,1435,-3,1703,1701,2,DL,1344,N370NB,LGA,MCI,183,1107,14,35,2013-01-23T19:00:00Z
2013,1,24,809,700,69,1056,952,64,DL,2285,N370NB,LGA,MCO,137,950,7,0,2013-01-24T12:00:00Z
2013,1,24,1509,1350,79,1722,1628,54,DL,1705,N370NB,LGA,MSY,161,1183,13,50,2013-01-24T18:00:00Z
2013,1,24,1517,1444,33,1759,1802,-3,UA,750,N438UA,EWR,AUS,198,1504,14,44,2013-01-24T19:00:00Z
2013,1,25,1256,1240,16,1553,1555,-2,AA,2041,N5ELAA,JFK,MIA,154,1089,12,40,2013-01-25T17:00:00Z
2013,1,25,1457,1446,11,1745,1757,-12,UA,337,N438UA,LGA,IAH,199,1416,14,46,2013-01-25T19:00:00Z
2013,1,26,800,800,0,1024,1035,-11,UA,369,N438UA,LGA,DEN,243,1620,8,0,2013-01-26T13:00:00Z
2013,1,27,622,625,-3,910,937,-27,UA,304,N438UA,LGA,IAH,207,1416,6,25,2013-01-27T11:00:00Z
2013,1,27,959,959,0,1338,1333,5,US,338,N652AW,JFK,PHX,309,2153,9,59,2013-01-27T14:00:00Z
2013,1,27,1134,1140,-6,1428,1450,-22,DL,930,N370NB,LGA,FLL,152,1076,11,40,2013-01-27T16:00:00Z
2013,1,27,1910,1910,0,2152,2204,-12,UA,347,N438UA,EWR,LAS,304,2227,19,10,2013-01-28T00:00:00Z
2013,1,27,1923,1925,-2,2221,2235,-14,DL,2370,N370NB,LGA,PBI,136,1035,19,25,2013-01-28T00:00:00Z
2013,1,28,605,610,-5,855,910,-15,AA,1895,N5ELAA,EWR,MIA,146,1085,6,10,2013-01-28T11:00:00Z
2013,1,28,958,959,-1,1347,1333,14,US,450,N652AW,JFK,PHX,312,2153,9,59,2013-01-28T14:00:00Z
2013,1,28,1135,1145,-10,1431,1453,-22,DL,1174,N370NB,LGA,PBI,142,1035,11,45,2013-01-28T16:00:00Z
2013,1,28,1917,1930,-13,2146,2213,-27,DL,1715,N370NB,LGA,MSY,167,1183,19,30,2013-01-29T00:00:00Z
2013,1,28,NA,1134,NA,NA,1345,NA,DL,2219,N370NB,LGA,MSP,NA,1020,11,34,2013-01-28T16:00:00Z
2013,1,29,1133,1140,-7,1423,1450,-27,DL,930,N370NB,LGA,FLL,146,1076,11,40,2013-01-29T16:00:00Z
2013,1,29,1814,1820,-6,2136,2150,-14,AA,119,N3FAAA,EWR,LAX,352,2454,18,20,2013-01-29T23:00:00Z
2013,1,29,1914,1900,14,2040,2051,-11,DL,1255,N370NB,LGA,PIT,58,335,19,0,2013-01-30T00:00:00Z
2013,1,30,857,905,-8,1209,1226,-17,DL,2379,N370NB,LGA,FLL,153,1076,9,5,2013-01-30T14:00:00Z
2013,1,30,1902,1720,102,2215,2033,102,DL,1779,N370NB,LGA,FLL,162,1076,17,20,2013-01-30T22:00:00Z
2013,1,30,NA,1645,NA,NA,1853,NA,EV,4997,N398CA,EWR,DTW,NA,488,16,45,2013-01-30T21:00:00Z
2013,1,31,540,540,0,851,850,1,AA,1141,N5ELAA,JFK,MIA,165,1089,5,40,2013-01-31T10:00:00Z
2013,1,31,939,940,-1,1302,1250,12,AA,1871,N3FAAA,LGA,MIA,164,1096,9,40,2013-01-31T14:00:00Z
2013,1,31,1435,1435,0,1750,1742,8,DL,1902,N370NB,LGA,PBI,172,1035,14,35,2013-01-31T19:00:00Z
2013,1,31,1912,1810,62,2232,2130,62,AA,1611,N3FAAA,LGA,MIA,170,1096,18,10,2013-01-31T23:00:00Z
2013,10,1,1447,1455,-8,1617,1640,-23,MQ,3359,N813MQ,JFK,RDU,63,427,14,55,2013-10-01T18:00:00Z
2013,10,1,1543,1545,-2,1702,1721,-19,EV,5293,N398CA,LGA,ORF,46,296,15,45,2013-10-01T19:00:00Z
2013,10,1,1614,1619,-5,1806,1839,-33,UA,485,N438UA,EWR,DEN,212,1605,16,19,2013-10-01T20:00:00Z
2013,10,1,1936,1940,-4,2117,2125,-8,MQ,3374,N813MQ,JFK,RDU,64,427,19,40,2013-10-01T23:00:00Z
2013,10,2,802,810,-8,926,955,-29,MQ,3272,N813MQ,LGA,CLE,66,419,8,10,2013-10-02T12:00:00Z
2013,10,2,1111,1029,42,1300,1239,21,US,604,N652AW,EWR,PHX,276,2133,10,29,2013-10-02T14:00:00Z
2013,10,2,1319,1329,-10,1515,1529,-14,MQ,3340,N813MQ,LGA,DTW,81,502,13,29,2013-10-02T17:00:00Z
2013,10,2,1858,1900,-2,2043,2040,3,MQ,3591,N813MQ,LGA,RDU,62,431,19,0,2013-10-02T23:00:00Z
2013,10,3,753,755,-2,926,935,-9,MQ,3363,N813MQ,JFK,RDU,69,427,7,55,2013-10-03T11:00:00Z
2013,10,3,907,915,-8,1131,1154,-23,EV,5211,N398CA,LGA,SAV,103,722,9,15,2013-10-03T13:00:00Z
2013,10,3,1218,1220,-2,1346,1355,-9,MQ,3361,N813MQ,JFK,RDU,68,427,12,20,2013-10-03T16:00:00Z
2013,10,3,1245,1245,0,1533,1600,-27,AA,1697,N5ELAA,JFK,MIA,144,1089,12,45,2013-10-03T16:00:00Z
2013,10,3,1744,1710,34,1852,1835,17,MQ,3365,N813MQ,JFK,DCA,47,213,17,10,2013-10-03T21:00:00Z
2013,10,4,1020,1029,-9,1235,1239,-4,US,604,N652AW,EWR,PHX,292,2133,10,29,2013-10-04T14:00:00Z
2013,10,4,1446,1455,-9,1621,1640,-19,MQ,3359,N813MQ,JFK,RDU,67,427,14,55,2013-10-04T18:00:00Z
2013,10,4,1657,1700,-3,1938,1958,-20,DL,1585,N370NB,LGA,MCO,121,950,17,0,2013-10-04T21:00:00Z
2013,10,4,1911,1905,6,2101,2038,23,EV,5383,N398CA,LGA,ROC,58,254,19,5,2013-10-04T23:00:00Z
2013,10,4,1931,1940,-9,2109,2125,-16,MQ,3374,N813MQ,JFK,RDU,66,427,19,40,2013-10-04T23:00:00Z
2013,10,5,551,600,-9,712,730,-18,UA,654,N438UA,EWR,ORD,112,719,6,0,2013-10-05T10:00:00Z
2013,10,5,804,755,9,927,935,-8,MQ,3363,N813MQ,JFK,RDU,63,427,7,55,2013-10-05T11:00:00Z
2013,10,5,1210,1200,10,1511,1515,-4,AA,1256,N3FAAA,LGA,MIA,140,1096,12,0,2013-10-05T16:00:00Z
2013,10,5,1217,1220,-3,1341,1355,-14,MQ,3361,N813MQ,JFK,RDU,63,427,12,20,2013-10-05T16:00:00Z
2013,10,5,1714,1710,4,1817,1835,-18,MQ,3365,N813MQ,JFK,DCA,39,213,17,10,2013-10-05T21:00:00Z
2013,10,5,2134,2140,-6,2229,2255,-26,MQ,3621,N813MQ,JFK,DCA,40,213,21,40,2013-10-06T01:00:00Z
2013,10,6,838,845,-7,1130,1146,-16,UA,207,N438UA,LGA,IAH,196,1416,8,45,2013-10-06T12:00:00Z
2013,10,6,912,910,2,1222,1215,7,AA,1121,N3FAAA,LGA,DFW,198,1389,9,10,2013-10-06T13:00:00Z
2013,10,6,1025,720,185,1206,919,167,DL,831,N370NB,LGA,DTW,76,502,7,20,2013-10-06T11:00:00Z
2013,10,6,1307,1310,-3,1509,1526,-17,EV,5283,N398CA,LGA,CVG,98,585,13,10,2013-10-06T17:00:00Z
2013,10,6,1816,1815,1,2113,2135,-22,AA,1611,N3FAAA,LGA,MIA,145,1096,18,15,2013-10-06T22:00:00Z
2013,10,7,855,810,45,1046,955,51,MQ,3272,N813MQ,LGA,CLE,71,419,8,10,2013-10-07T12:00:00Z
2013,10,7,912,915,-3,1138,1154,-16,EV,5211,N398CA,LGA,SAV,106,722,9,15,2013-10-07T13:00:00Z
2013,10,7,1856,1900,-4,2025,2040,-15,MQ,3591,N813MQ,LGA,RDU,69,431,19,0,2013-10-07T23:00:00Z
2013,10,8,1026,1029,-3,1219,1239,-20,US,604,N652AW,EWR,PHX,275,2133,10,29,2013-10-08T14:00:00Z
2013,10,9,845,850,-5,944,1006,-22,DL,2445,N370NB,JFK,BOS,37,187,8,50,2013-10-09T12:00:00Z
2013,10,10,714,705,9,829,845,-16,WN,1265,N259WN,EWR,STL,121,872,7,5,2013-10-10T11:00:00Z
2013,10,10,1351,1300,51,1543,1450,53,MQ,3388,N813MQ,LGA,CMH,75,479,13,0,2013-10-10T17:00:00Z
2013,10,10,1851,1730,81,2040,1926,74,US,687,N652AW,EWR,CLT,79,529,17,30,2013-10-10T21:00:00Z
2013,10,10,1859,1900,-1,2036,2040,-4,MQ,3591,N813MQ,LGA,RDU,73,431,19,0,2013-10-10T23:00:00Z
2013,10,10,NA,1220,NA,NA,1355,NA,MQ,3361,N813MQ,JFK,RDU,NA,427,12,20,2013-10-10T16:00:00Z
2013,10,11,754,755,-1,933,935,-2,MQ,3363,N813MQ,JFK,RDU,72,427,7,55,2013-10-11T11:00:00Z
2013,10,11,1215,1220,-5,1351,1355,-4,MQ,3361,N813MQ,JFK,RDU,76,427,12,20,2013-10-11T16:00:00Z
2013,10,11,1412,1355,17,1611,1602,9,US,686,N652AW,EWR,PHX,280,2133,13,55,2013-10-11T17:00:00Z
2013,10,11,1502,1455,7,1741,1759,-18,DL,1935,N370NB,LGA,TPA,134,1010,14,55,2013-10-11T18:00:00Z
2013,10,11,1919,1710,129,2032,1835,117,MQ,3365,N813MQ,JFK,DCA,48,213,17,10,2013-10-11T21:00:00Z
2013,10,11,2240,2028,132,130,2339,111,UA,306,N438UA,EWR,MIA,134,1085,20,28,2013-10-12T00:00:00Z
2013,10,11,2331,2140,111,31,2255,96,MQ,3621,N813MQ,JFK,DCA,39,213,21,40,2013-10-12T01:00:00Z
2013,10,12,725,730,-5,902,927,-25,DL,831,N370NB,LGA,DTW,77,502,7,30,2013-10-12T11:00:00Z
2013,10,12,755,755,0,855,910,-15,MQ,3370,N813MQ,JFK,DCA,38,213,7,55,2013-10-12T11:00:00Z
2013,10,12,1153,1159,-6,1251,1309,-18,MQ,3386,N813MQ,JFK,DCA,43,213,11,59,2013-10-12T15:00:00Z
2013,10,13,802,810,-8,933,955,-22,MQ,3272,N813MQ,LGA,CLE,64,419,8,10,2013-10-13T12:00:00Z
2013,10,13,835,840,-5,1054,1105,-11,UA,447,N438UA,EWR,PHX,292,2133,8,40,2013-10-13T12:00:00Z
2013,10,13,1325,1329,-4,1534,1529,5,MQ,3340,N813MQ,LGA,DTW,83,502,13,29,2013-10-13T17:00:00Z
2013,10,13,1614,1625,-11,1818,1841,-23,EV,5601,N398CA,LGA,CLT,82,544,16,25,2013-10-13T20:00:00Z
2013,10,13,1856,1900,-4,2034,2040,-6,MQ,3591,N813MQ,LGA,RDU,70,431,19,0,2013-10-13T23:00:00Z
2013,10,13,2237,2159,38,3,2327,36,EV,5311,N398CA,LGA,BGR,54,378,21,59,2013-10-14T01:00:00Z
2013,10,14,802,805,-3,951,1000,-9,EV,5242,N398CA,LGA,GSO,70,461,8,5,2013-10-14T12:00:00Z
2013,10,14,820,825,-5,1014,1023,-9,US,409,N652AW,EWR,CLT,87,529,8,25,2013-10-14T12:00:00Z
2013,10,14,1255,1259,-4,1505,1512,-7,EV,5207,N398CA,LGA,CLT,88,544,12,59,2013-10-14T16:00:00Z
2013,10,14,1839,1845,-6,1950,2029,-39,EV,5274,N398CA,LGA,BNA,111,764,18,45,2013-10-14T22:00:00Z
2013,10,15,754,755,-1,928,935,-7,MQ,3363,N813MQ,JFK,RDU,72,427,7,55,2013-10-15T11:00:00Z
2013,10,15,1109,1115,-6,1242,1300,-18,EV,5273,N398CA,LGA,PIT,54,335,11,15,2013-10-15T15:00:00Z
2013,10,15,1720,1700,20,1932,1855,37,AA,199,N3FAAA,JFK,ORD,122,740,17,0,2013-10-15T21:00:00Z
2013,10,15,NA,2140,NA,NA,2255,NA,MQ,3621,N813MQ,JFK,DCA,NA,213,21,40,2013-10-16T01:00:00Z
2013,10,16,854,840,14,1110,1020,50,MQ,3531,N813MQ,LGA,RDU,80,431,8,40,2013-10-16T12:00:00Z
2013,10,16,1022,1029,-7,1246,1239,7,US,604,N652AW,EWR,PHX,306,2133,10,29,2013-10-16T14:00:00Z
2013,10,16,1354,1329,25,1605,1529,36,MQ,3340,N813MQ,LGA,DTW,83,502,13,29,2013-10-16T17:00:00Z
2013,10,16,1454,1502,-8,1716,1724,-8,EV,5199,N398CA,LGA,CHS,94,641,15,2,2013-10-16T19:00:00Z
2013,10,16,2029,2035,-6,2309,2340,-31,UA,288,N438UA,EWR,FLL,141,1065,20,35,2013-10-17T00:00:00Z
2013,10,16,2053,2057,-4,2208,2236,-28,EV,5048,N398CA,LGA,RIC,57,292,20,57,2013-10-17T00:00:00Z
2013,10,17,836,845,-9,950,1030,-40,EV,5288,N398CA,LGA,BUF,48,292,8,45,2013-10-17T12:00:00Z
2013,10,17,1224,1229,-5,1454,1458,-4,UA,352,N438UA,EWR,LAS,310,2227,12,29,2013-10-17T16:00:00Z
2013,10,17,1314,1310,4,1528,1517,11,EV,5299,N398CA,LGA,MEM,157,963,13,10,2013-10-17T17:00:00Z
2013,10,19,1251,1300,-9,1428,1435,-7,WN,760,N259WN,LGA,BNA,137,764,13,0,2013-10-19T17:00:00Z
2013,10,20,804,807,-3,1054,1056,-2,UA,354,N438UA,EWR,TPA,150,997,8,7,2013-10-20T12:00:00Z
2013,10,20,1724,1729,-5,2029,2031,-2,UA,312,N438UA,EWR,SAN,315,2425,17,29,2013-10-20T21:00:00Z
2013,10,22,835,845,-10,1031,1053,-22,US,2071,N703UW,LGA,CLT,93,544,8,45,2013-10-22T12:00:00Z
2013,10,22,1101,1110,-9,1401,1430,-29,AA,1599,N3FAAA,LGA,MIA,157,1096,11,10,2013-10-22T15:00:00Z
2013,10,22,1904,1910,-6,2201,2210,-9,AA,1193,N3FAAA,LGA,DFW,203,1389,19,10,2013-10-22T23:00:00Z
2013,10,23,757,800,-3,934,918,16,US,2171,N703UW,LGA,DCA,53,214,8,0,2013-10-23T12:00:00Z
2013,10,23,1050,1059,-9,1244,1254,-10,MQ,3281,N813MQ,LGA,CMH,82,479,10,59,2013-10-23T14:00:00Z
2013,10,23,1228,1200,28,1400,1317,43,US,2179,N703UW,LGA,DCA,53,214,12,0,2013-10-23T16:00:00Z
2013,10,23,1612,1625,-13,1851,1841,10,EV,5601,N398CA,LGA,CLT,93,544,16,25,2013-10-23T20:00:00Z
2013,10,23,1615,1600,15,1806,1720,46,US,2187,N703UW,LGA,DCA,45,214,16,0,2013-10-23T20:00:00Z
2013,10,23,1656,1700,-4,2016,1958,18,DL,1585,N370NB,LGA,MCO,143,950,17,0,2013-10-23T21:00:00Z
2013,10,23,2031,2000,31,2221,2120,61,US,2195,N703UW,LGA,DCA,47,214,20,0,2013-10-24T00:00:00Z
2013,10,23,2152,2159,-7,2303,2327,-24,EV,5311,N398CA,LGA,BGR,49,378,21,59,2013-10-24T01:00:00Z
2013,10,24,810,810,0,957,954,3,EV,5463,N398CA,LGA,BNA,126,764,8,10,2013-10-24T12:00:00Z
2013,10,24,1044,1045,-1,1355,1359,-4,DL,954,N370NB,LGA,FLL,167,1076,10,45,2013-10-24T14:00:00Z
2013,10,24,1451,1455,-4,1640,1640,0,MQ,3359,N813MQ,JFK,RDU,83,427,14,55,2013-10-24T18:00:00Z
2013,10,24,1514,1500,14,1734,1716,18,EV,4978,N398CA,LGA,CLT,93,544,15,0,2013-10-24T19:00:00Z
2013,10,24,1545,1545,0,1721,1705,16,AA,256,N3FAAA,JFK,BOS,46,187,15,45,2013-10-24T19:00:00Z
2013,10,24,1918,1925,-7,2232,2227,5,DL,1435,N370NB,LGA,TPA,159,1010,19,25,2013-10-24T23:00:00Z
2013,10,24,1932,1940,-8,2106,2125,-19,MQ,3374,N813MQ,JFK,RDU,75,427,19,40,2013-10-24T23:00:00Z
2013,10,24,2024,2025,-1,2129,2140,-11,AA,2314,N3FAAA,JFK,BOS,43,187,20,25,2013-10-25T00:00:00Z
2013,10,24,2036,2030,6,2248,2251,-3,EV,5209,N398CA,LGA,CHS,107,641,20,30,2013-10-25T00:00:00Z
2013,10,25,750,755,-5,907,910,-3,MQ,3370,N813MQ,JFK,DCA,52,213,7,55,2013-10-25T11:00:00Z
2013,10,25,848,855,-7,1011,1033,-22,EV,5220,N398CA,LGA,ROC,44,254,8,55,2013-10-25T12:00:00Z
2013,10,25,1054,1100,-6,1228,1309,-41,DL,2452,N370NB,LGA,DTW,77,502,11,0,2013-10-25T15:00:00Z
2013,10,25,1151,1159,-8,1255,1309,-14,MQ,3386,N813MQ,JFK,DCA,45,213,11,59,2013-10-25T15:00:00Z
2013,10,25,1323,1310,13,1513,1517,-4,EV,5299,N398CA,LGA,MEM,127,963,13,10,2013-10-25T17:00:00Z
2013,10,29,703,710,-7,947,1000,-13,AA,2493,N5ELAA,JFK,MCO,127,944,7,10,2013-10-29T11:00:00Z
2013,10,29,724,730,-6,918,929,-11,DL,831,N370NB,LGA,DTW,92,502,7,30,2013-10-29T11:00:00Z
2013,10,29,1653,1700,-7,2009,1945,24,AA,45,N5ELAA,JFK,LAS,346,2248,17,0,2013-10-29T21:00:00Z
2013,10,29,1727,1730,-3,1920,1926,-6,US,687,N652AW,EWR,CLT,83,529,17,30,2013-10-29T21:00:00Z
2013,10,30,1657,1700,-3,1934,1958,-24,DL,1585,N370NB,LGA,MCO,126,950,17,0,2013-10-30T21:00:00Z
2013,10,31,542,545,-3,818,855,-37,AA,2243,N5ELAA,JFK,MIA,136,1089,5,45,2013-10-31T09:00:00Z
2013,10,31,815,820,-5,1014,1021,-7,US,409,N652AW,EWR,CLT,80,529,8,20,2013-10-31T12:00:00Z
2013,10,31,1057,1100,-3,1304,1305,-1,DL,2452,N370NB,LGA,DTW,92,502,11,0,2013-10-31T15:00:00Z
2013,11,1,NA,1350,NA,NA,1526,NA,EV,5181,N398CA,LGA,MSN,NA,812,13,50,2013-11-01T17:00:00Z
2013,11,2,1541,1545,-4,1641,1705,-24,AA,256,N3FAAA,JFK,BOS,31,187,15,45,2013-11-02T19:00:00Z
2013,11,2,1617,1625,-8,1937,1949,-12,DL,1373,N370NB,JFK,MIA,162,1089,16,25,2013-11-02T20:00:00Z
2013,11,3,818,825,-7,917,935,-18,AA,84,N3FAAA,JFK,BOS,33,187,8,25,2013-11-03T13:00:00Z
2013,11,3,1244,1250,-6,1334,1400,-26,AA,178,N3FAAA,JFK,BOS,33,187,12,50,2013-11-03T17:00:00Z
2013,11,3,1439,1440,-1,1630,1639,-9,DL,1231,N370NB,LGA,DTW,81,502,14,40,2013-11-03T19:00:00Z
2013,11,4,559,600,-1,748,756,-8,DL,1517,N370NB,EWR,DTW,83,488,6,0,2013-11-04T11:00:00Z
2013,11,4,752,755,-3,902,910,-8,MQ,3370,N813MQ,JFK,DCA,40,213,7,55,2013-11-04T12:00:00Z
2013,11,4,1154,1159,-5,1257,1309,-12,MQ,3386,N813MQ,JFK,DCA,43,213,11,59,2013-11-04T16:00:00Z
2013,11,4,1629,1635,-6,1825,1810,15,EV,5293,N398CA,LGA,ORF,53,296,16,35,2013-11-04T21:00:00Z
2013,11,5,1320,1326,-6,1501,1524,-23,EV,5437,N398CA,LGA,CMH,76,479,13,26,2013-11-05T18:00:00Z
2013,11,5,1515,1515,0,1803,1804,-1,UA,761,N438UA,EWR,TPA,139,997,15,15,2013-11-05T20:00:00Z
2013,11,5,1835,1845,-10,1951,2026,-35,EV,5274,N398CA,LGA,BNA,114,764,18,45,2013-11-05T23:00:00Z
2013,11,6,1113,1115,-2,1243,1252,-9,EV,5273,N398CA,LGA,PIT,57,335,11,15,2013-11-06T16:00:00Z
2013,11,6,1452,1455,-3,1623,1640,-17,MQ,3359,N813MQ,JFK,RDU,74,427,14,55,2013-11-06T19:00:00Z
2013,11,6,1933,1940,-7,2117,2125,-8,MQ,3374,N813MQ,JFK,RDU,72,427,19,40,2013-11-07T00:00:00Z
2013,11,7,2133,2140,-7,2257,2255,2,MQ,3621,N813MQ,JFK,DCA,44,213,21,40,2013-11-08T02:00:00Z
2013,11,8,755,755,0,921,910,11,MQ,3370,N813MQ,JFK,DCA,60,213,7,55,2013-11-08T12:00:00Z
2013,11,8,840,843,-3,1044,1051,-7,US,2071,N703UW,LGA,CLT,104,544,8,43,2013-11-08T13:00:00Z
2013,11,8,1058,1100,-2,1245,1253,-8,EV,5417,N398CA,EWR,DTW,87,488,11,0,2013-11-08T16:00:00Z
2013,11,8,1156,1159,-3,1312,1309,3,MQ,3386,N813MQ,JFK,DCA,57,213,11,59,2013-11-08T16:00:00Z
2013,11,11,755,755,0,931,935,-4,MQ,3363,N813MQ,JFK,RDU,69,427,7,55,2013-11-11T12:00:00Z
2013,11,11,934,940,-6,1127,1157,-30,EV,4880,N398CA,LGA,MEM,136,963,9,40,2013-11-11T14:00:00Z
2013,11,11,1230,1220,10,1404,1355,9,MQ,3361,N813MQ,JFK,RDU,73,427,12,20,2013-11-11T17:00:00Z
2013,11,11,1703,1710,-7,1803,1835,-32,MQ,3365,N813MQ,JFK,DCA,43,213,17,10,2013-11-11T22:00:00Z
2013,11,11,2133,2140,-7,2242,2255,-13,MQ,3621,N813MQ,JFK,DCA,46,213,21,40,2013-11-12T02:00:00Z
2013,11,12,1155,1200,-5,1417,1424,-7,EV,5333,N398CA,LGA,CHS,100,641,12,0,2013-11-12T17:00:00Z
2013,11,12,1754,1800,-6,1942,1944,-2,EV,5451,N398CA,LGA,PIT,57,335,18,0,2013-11-12T23:00:00Z
2013,11,12,1825,1755,30,2050,1930,80,MQ,3301,N813MQ,LGA,RDU,82,431,17,55,2013-11-12T22:00:00Z
2013,11,13,603,615,-12,731,750,-19,MQ,3525,N813MQ,LGA,RDU,68,431,6,15,2013-11-13T11:00:00Z
2013,11,13,907,910,-3,1135,1130,5,EV,5443,N398CA,LGA,CLT,78,544,9,10,2013-11-13T14:00:00Z
2013,11,13,1500,1505,-5,1706,1655,11,MQ,3391,N813MQ,LGA,CMH,70,479,15,5,2013-11-13T20:00:00Z
2013,11,13,1941,1950,-9,2141,2140,1,MQ,3573,N813MQ,LGA,CMH,70,479,19,50,2013-11-14T00:00:00Z
2013,11,14,1012,1015,-3,1312,1342,-30,US,604,N652AW,EWR,PHX,285,2133,10,15,2013-11-14T15:00:00Z
2013,11,14,1157,1200,-3,1432,1424,8,EV,5333,N398CA,LGA,CHS,105,641,12,0,2013-11-14T17:00:00Z
